eval_id,query,normalized_query,query_type,difficulty,expected_record_ids,expected_group_id,expected_behavior,requested_field
E-REC-001-1,دليل إجراءات تقنية المعلومات,دليل اجراءات تقنيه المعلومات,keyword,easy,REC-001,DOC-METADATA,answer,
E-REC-001-2,وش دليل إجراءات تقنية المعلومات,وش دليل اجراءات تقنيه المعلومات,colloquial,medium,REC-001,DOC-METADATA,answer,
E-REC-001-3,وين ألقى دليل إجراءات تقنية المعلومات,وين القي دليل اجراءات تقنيه المعلومات,formal,easy,REC-001,DOC-METADATA,answer,
E-REC-001-4,منيوال,منيوال,typo,medium,REC-001,DOC-METADATA,answer,
E-REC-001-5,Manual Title,manual title,bilingual,medium,REC-001,DOC-METADATA,answer,
E-REC-002-1,دليل إجراءات تقنية المعلومات,دليل اجراءات تقنيه المعلومات,keyword,easy,REC-002,DOC-METADATA,answer,
E-REC-002-2,وش دليل إجراءات تقنية المعلومات,وش دليل اجراءات تقنيه المعلومات,colloquial,medium,REC-002,DOC-METADATA,answer,
E-REC-002-3,وين ألقى دليل إجراءات تقنية المعلومات,وين القي دليل اجراءات تقنيه المعلومات,formal,easy,REC-002,DOC-METADATA,answer,
E-REC-002-4,منيوال,منيوال,typo,medium,REC-002,DOC-METADATA,answer,
E-REC-002-5,Edition,edition,bilingual,medium,REC-002,DOC-METADATA,answer,
E-REC-003-1,دليل إجراءات تقنية المعلومات,دليل اجراءات تقنيه المعلومات,keyword,easy,REC-003,DOC-METADATA,answer,
E-REC-003-2,وش دليل إجراءات تقنية المعلومات,وش دليل اجراءات تقنيه المعلومات,colloquial,medium,REC-003,DOC-METADATA,answer,
E-REC-003-3,وين ألقى دليل إجراءات تقنية المعلومات,وين القي دليل اجراءات تقنيه المعلومات,formal,easy,REC-003,DOC-METADATA,answer,
E-REC-003-4,منيوال,منيوال,typo,medium,REC-003,DOC-METADATA,answer,
E-REC-003-5,Effective Date,effective date,bilingual,medium,REC-003,DOC-METADATA,answer,
E-REC-004-1,دليل إجراءات تقنية المعلومات,دليل اجراءات تقنيه المعلومات,keyword,easy,REC-004,DOC-METADATA,answer,
E-REC-004-2,وش دليل إجراءات تقنية المعلومات,وش دليل اجراءات تقنيه المعلومات,colloquial,medium,REC-004,DOC-METADATA,answer,
E-REC-004-3,وين ألقى دليل إجراءات تقنية المعلومات,وين القي دليل اجراءات تقنيه المعلومات,formal,easy,REC-004,DOC-METADATA,answer,
E-REC-004-4,منيوال,منيوال,typo,medium,REC-004,DOC-METADATA,answer,
E-REC-004-5,Organization,organization,bilingual,medium,REC-004,DOC-METADATA,answer,
E-REC-005-1,دليل إجراءات تقنية المعلومات,دليل اجراءات تقنيه المعلومات,keyword,easy,REC-005,DOC-METADATA,answer,
E-REC-005-2,وش دليل إجراءات تقنية المعلومات,وش دليل اجراءات تقنيه المعلومات,colloquial,medium,REC-005,DOC-METADATA,answer,
